Date,Produit,Carrefour_Station_ID,Carrefour_Station_Name,Inférieur,Égal,Supérieur
2024-03-15,Gazole,7300001,"609    Carrefour
Name: Enseignes, dtype: object",3,0,4
2024-03-15,Gazole,7430002,"624    Carrefour
Name: Enseignes, dtype: object",4,0,3
2024-03-15,Gazole,7800008,"636    Carrefour
Name: Enseignes, dtype: object",9,0,6
2024-03-15,Gazole,8000001,"637    Carrefour
Name: Enseignes, dtype: object",0,0,5
2024-03-15,Gazole,8110001,"645    Carrefour
Name: Enseignes, dtype: object",1,0,1
2024-03-15,Gazole,8130003,"648    Carrefour
Name: Enseignes, dtype: object",0,2,0
2024-03-15,Gazole,8150001,"652    Carrefour
Name: Enseignes, dtype: object",1,0,1
2024-03-15,Gazole,8150002,"653    Carrefour
Name: Enseignes, dtype: object",0,0,2
2024-03-15,Gazole,8170001,"654    Carrefour
Name: Enseignes, dtype: object",0,0,2
2024-03-15,Gazole,8190003,"657    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,8230001,"663    Carrefour
Name: Enseignes, dtype: object",2,0,0
2024-03-15,Gazole,8300001,"666    Carrefour
Name: Enseignes, dtype: object",0,2,1
2024-03-15,Gazole,8330002,"673    Carrefour
Name: Enseignes, dtype: object",4,2,0
2024-03-15,Gazole,8360003,"675    Carrefour
Name: Enseignes, dtype: object",2,0,0
2024-03-15,Gazole,8400004,"678    Carrefour
Name: Enseignes, dtype: object",2,0,0
2024-03-15,Gazole,8700001,"683    Carrefour
Name: Enseignes, dtype: object",1,1,5
2024-03-15,Gazole,8800004,"685    Carrefour
Name: Enseignes, dtype: object",2,0,1
2024-03-15,Gazole,9000007,"690    Carrefour
Name: Enseignes, dtype: object",2,1,0
2024-03-15,Gazole,9110003,"697    Carrefour
Name: Enseignes, dtype: object",1,0,0
2024-03-15,Gazole,9200001,"704    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,9210001,"706    Carrefour
Name: Enseignes, dtype: object",1,0,1
2024-03-15,Gazole,9270003,"709    Carrefour
Name: Enseignes, dtype: object",1,0,0
2024-03-15,Gazole,9300005,"711    Carrefour
Name: Enseignes, dtype: object",1,0,1
2024-03-15,Gazole,9300008,"712    Carrefour
Name: Enseignes, dtype: object",2,0,0
2024-03-15,Gazole,9350003,"714    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,10100001,"728    Carrefour
Name: Enseignes, dtype: object",1,1,1
2024-03-15,Gazole,10123001,"737    Carrefour
Name: Enseignes, dtype: object",11,0,7
2024-03-15,Gazole,10200003,"751    Carrefour
Name: Enseignes, dtype: object",0,1,1
2024-03-15,Gazole,10260003,"760    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,10400002,"772    Carrefour
Name: Enseignes, dtype: object",0,1,0
2024-03-15,Gazole,10600002,"781    Carrefour
Name: Enseignes, dtype: object",7,2,10
2024-03-15,Gazole,10700002,"787    Carrefour
Name: Enseignes, dtype: object",0,1,1
2024-03-15,Gazole,10800006,"791    Carrefour
Name: Enseignes, dtype: object",11,1,4
2024-03-15,Gazole,11000016,"801    Carrefour
Name: Enseignes, dtype: object",2,1,5
2024-03-15,Gazole,11101001,"816    Carrefour
Name: Enseignes, dtype: object",1,0,9
2024-03-15,Gazole,11120002,"823    Carrefour
Name: Enseignes, dtype: object",0,1,2
